idStore,Name,Phone,Address,City,State,ZIP,Hours
1213,Agness ,541-247-7233,04219 Agness Rd ,Agness ,OR,97406,7-7 M - Sun
1219,Albany Downtown ,541-926-1166,104 4th Ave SE ,Albany Downtown ,OR,97321,11-7 M-S; Closed Sunday
1103,Albany East ,541-926-2887,2530 Pacific Blvd SE ,Albany East ,OR,97321,11-7 M-S; Closed Sunday
1191,Aloha Farmington ,503-649-6155,17455 SW Farmington Rd Ste 30A ,Aloha Farmington ,OR,97007,11-7 M-T;10-7 F-S; Closed Sunday
1239,Aloha TV Hwy ,503-591-9590,20285 SW Tualatin Valley Highway ,Aloha TV Hwy ,OR,97006,11-7 M-Th; 10-8 FS; 11-4 Sun
1039,Amity ,503-835-0300,520 S. Trade St ,Amity ,OR,97101,9-9 M-S; 9-8 Sun
1064,Arlington ,541-454-2633,200 Arlington Mall ,Arlington ,OR,97812,8-6 M-S; 10-2 Sun
1012,Ashland ,541-482-4258,40 Lithia Way ,Ashland ,OR,97520,10-7 M-Th; 10-8 F-S; 12-6 Sun
1167,Astoria ,503-325-4784,"730 Bond Street, Suite A ",Astoria ,OR,97103,10-7 M-S; 11-4 Sun
1006,Athena ,541-566-2396,313 E. Main St ,Athena ,OR,97813,7-7 M-S;7-6 Sun
1092,Baker City ,541-523-5022,1250 Campbell St ,Baker City ,OR,97814,10-7 M-Th; 10-8 F; 10-7 S; Closed Sunday
1056,Bandon ,541-347-2106,1125 Alabama Ave SE ,Bandon ,OR,97411,10-7 M-S; 10-2 Sun
1073,Banks ,503-324-2171,660 S Main St ,Banks ,OR,97106,7-10 M-S; 7-10 Sun
1237,Beaverton Allen Blvd ,503-644-2235,14334 SW Allen Blvd ,Beaverton Allen Blvd ,OR,97005,11-7 M-W; 11-8 Th-S; 11-6 Sun
1086,Beaverton Progress ,503-646-2875,8616 SW Hall Blvd ,Beaverton Progress ,OR,97008,11-7 M-Th; 11-8 F-S;11-5 Sun
1230,Beaverton Town Square ,503-644-7567,11423 SW Beaverton/Hillsdale Hwy ,Beaverton Town Square ,OR,97005,10-10 MS; 11-5 Sun
1150,Bend East ,541-318-2977,"2220 NE Highway 20, Ste. 1 ",Bend East ,OR,97701,10-8 M-W; 9-9 Th-S; 11-6 Sun
1163,Bend North ,541-382-7050,2000 NE 3rd Street #108 ,Bend North ,OR,97701,"10-8 M-Th, 10-9 FS, 11-6 Sun"
1069,Bend South ,541-388-0692,61153 S Highway 97 ,Bend South ,OR,97702,10-7 M-S; Closed Sunday
1242,Bend West ,541-312-2229,"210 SW Century Drive, Ste. 110 ",Bend West ,OR,97702,11-7 M-T; 10-8 FS; 12-6 Sun
1222,Birkenfeld ,503-755-2722,11139 Highway 202 ,Birkenfeld ,OR,97016,9-6 M-Sat; 9-5 Sun
1165,Blue River ,541-822-3531,51748 Cascade Street ,Blue River ,OR,97413,Win: 8-7M-F;9-7S;10-5Sun. Sum: 8-8M-F;9-8S;10-7Sun
1044,Bly ,541-353-2271,61278 Hwy 140 E ,Bly ,OR,97622,Winter: 7-6 M-Sun; Summer: 7-7 M-Sun
1161,Boardman ,541-481-9474,202 1st NW ,Boardman ,OR,97818,9-6 M-S; Closed Sunday
1111,Bonanza ,541-545-6621,31919 Hwy 70 ,Bonanza ,OR,97623,7-9 M-S; 7-9 Sun
1129,Brookings ,541-469-2502,896 Chetco Ave ,Brookings ,OR,97415,10-6 M-Th; 10-7 FS; 12-4 Sun
1009,Brownsville ,541-466-9100,136 Spaulding Ave ,Brownsville ,OR,97327,10-7 M-Th; 10-7:30 FS; Closed Sunday
1014,Burns ,541-573-2511,763 Ponderosa Village ,Burns ,OR,97720,11-7 M-S; Closed Sunday
1226,Butte Falls ,541-865-3223,415 Broad St ,Butte Falls ,OR,97522,Winter: 8-8 M-Sun; Summer: 8-9 M-Sun
1208,Camas Valley ,541-445-2313,18355 Highway 42 ,Camas Valley ,OR,97416,Winter: 7-8 M-S; Summer: 7-8 M-S; Closed Sunday
1122,Canby ,503-266-3562,426 NW 1st Avenue ,Canby ,OR,97013,11-7 M-S; 12-4 Sun
1018,Cannon Beach ,503-436-2558,171 Sunset Blvd ,Cannon Beach ,OR,97110,11-7 M-Th; 12-8 F; 11-7 S; 12-6 Sun
1247,Cannon Beach Downtown ,503-436-0677,239 N Hemlock ,Cannon Beach Downtown ,OR,97110,11 - 7 M-Sun
1134,Canyonville ,541-839-4105,425 N Main Street ,Canyonville ,OR,97417,7-10 M-S; 7-10 Sun
1114,Cascade Locks ,541-374-8425,450 Wanapa Street ,Cascade Locks ,OR,97014,WIN 7:30-9 M-Sun; SUM 7:30-10 M-Sun
1138,Cave Junction ,541-592-3685,121 S. Redwood Hwy ,Cave Junction ,OR,97523,11-7 M-S; Closed Sunday
1085,Central Point ,541-664-3910,"1217 Plaza Blvd., Suite C ",Central Point ,OR,97502,11-8 M-Th; 11-9 FS; 12-5 Sun
1211,Charleston ,541-888-4646,91133 Cape Arago Hwy ,Charleston ,OR,97420,9-9 M-S; 9-8 Sun
1110,Chemult ,541-365-4422,94511 Highway 97 N ,Chemult ,OR,97731,9-8 MS; 10-6 Sun
1084,Chiloquin ,541-783-2346,323 Chocktoot ,Chiloquin ,OR,97624,7:30-8 M-S; 9-8 Sun
1223,Christmas Valley ,541-576-2500,87164 Christmas Valley Hwy ,Christmas Valley ,OR,97641,Winter: 7-8 M-Sun; Summer: 7-9 M-Sun
1101,Clackamas ,503-656-5186,16142 SE 82nd Dr ,Clackamas ,OR,97015,"10:30-7:30 M-Th,10:30-8 FS; 11-4 Sun"
1238,Clackamas Sunnyside ,503-698-5829,12038 SE Sunnyside Rd ,Clackamas Sunnyside ,OR,97015,11-8 M-Th; 10-8 FS; 12-5 Sun
1027,Clatskanie ,503-728-2892,235 W. Columbia River Hwy ,Clatskanie ,OR,97016,10-7 M-S; 10-4 Sun
1123,Cloverdale ,503-392-3456,34385 Highway 101 S ,Cloverdale ,OR,97112,9-6 M-S; Closed Sunday
1001,Condon ,541-384-2801,225 S Main Street ,Condon ,OR,97823,9-6 M-F; 10-6 S; Closed Sunday
1108,Coos Bay ,541-267-6421,784 Central Ave. ,Coos Bay ,OR,97420,10-7 M-Th;10-8 F-S;11-6 Sun
1055,Coquille ,541-396-4651,630 Hwy 42 E ,Coquille ,OR,97423,11-7 M-S; 11-3 Sun
1228,Corvallis Downtown ,541-753-7998,575 SW Washington Avenue ,Corvallis Downtown ,OR,97333,10-7 M-S; Closed Sunday
1194,Corvallis North ,541-754-0769,935 NW Circle Blvd. ,Corvallis North ,OR,97330,11-7 M-S; Closed Sunday
1137,Cottage Grove ,541-942-3469,1785 E Main St #3 ,Cottage Grove ,OR,97424,11-7 M-S; Closed Sunday
1081,Crescent ,541-433-2530,136854 Highway 97 N ,Crescent ,OR,97733,9-6 M-S; 12-5 Sun
1153,Creswell ,541-895-2559,159 E Oregon Ave ,Creswell ,OR,97426,10:30-8 M-Th;10:30-9 FS; Closed Sunday
